FID,REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Area
0,3,5,54,01779805,54,WV,West Virginia,00,G4000,A,62265662566.000000000000000,489840834.000000000000000,+38.6472854,-080.6183274,24230.0000000
1,3,5,12,00294478,12,FL,Florida,00,G4000,A,138911437206.000000000000000,31398800291.000000000000000,+28.4574302,-082.4091478,65757.2031250
2,2,3,17,01779784,17,IL,Illinois,00,G4000,A,143784114293.000000000000000,6211277447.000000000000000,+40.1028754,-089.1526108,57913.5000000
3,2,4,27,00662849,27,MN,Minnesota,00,G4000,A,206229176104.000000000000000,18944967530.000000000000000,+46.3158148,-094.1996628,86940.2031250
4,3,5,24,01714934,24,MD,Maryland,00,G4000,A,25150696145.000000000000000,6980371026.000000000000000,+38.9466584,-076.6744939,12405.9003906
5,1,1,44,01219835,44,RI,Rhode Island,00,G4000,A,2677997539.000000000000000,1323452846.000000000000000,+41.5974187,-071.5272723,1544.9699707
6,4,8,16,01779783,16,ID,Idaho,00,G4000,A,214048160737.000000000000000,2393355752.000000000000000,+44.3484222,-114.5588538,83568.5000000
7,1,1,33,01779794,33,NH,New Hampshire,00,G4000,A,23187445452.000000000000000,1028643155.000000000000000,+43.6726907,-071.5843145,9349.8798828
8,3,5,37,01027616,37,NC,North Carolina,00,G4000,A,125919712692.000000000000000,13470113896.000000000000000,+35.5397100,-079.1308636,53818.6992188
9,1,1,50,01779802,50,VT,Vermont,00,G4000,A,23873457570.000000000000000,1031134839.000000000000000,+44.0604795,-072.6733274,9615.7197266
10,1,1,09,01779780,09,CT,Connecticut,00,G4000,A,12542619303.000000000000000,1815495323.000000000000000,+41.5798637,-072.7466572,5543.7001953
11,3,5,10,01779781,10,DE,Delaware,00,G4000,A,5047241079.000000000000000,1398670234.000000000000000,+38.9986239,-075.4416920,2488.7800293
12,4,8,35,00897535,35,NM,New Mexico,00,G4000,A,314191415563.000000000000000,733669653.000000000000000,+34.4346843,-106.1316181,121593.0000000
13,4,9,06,01779778,06,CA,California,00,G4000,A,403483182192.000000000000000,20484637928.000000000000000,+37.1551773,-119.5434183,163695.0000000
14,1,2,34,01779795,34,NJ,New Jersey,00,G4000,A,19049723313.000000000000000,3542963551.000000000000000,+40.1072744,-074.6652012,8723.0898438
15,2,3,55,01779806,55,WI,Wisconsin,00,G4000,A,140275464079.000000000000000,29359527964.000000000000000,+44.6309071,-089.7093916,65496.3984375
16,4,9,41,01155107,41,OR,Oregon,00,G4000,A,248604328809.000000000000000,6195045325.000000000000000,+43.9717125,-120.6229578,98378.6015625
17,2,4,31,01779792,31,NE,Nebraska,00,G4000,A,198957965731.000000000000000,1370523694.000000000000000,+41.5433014,-099.8118616,77347.2968750
18,1,2,42,01779798,42,PA,Pennsylvania,00,G4000,A,115881477379.000000000000000,3397554419.000000000000000,+40.9024957,-077.8334514,46053.8984375
19,4,9,53,01779804,53,WA,Washington,00,G4000,A,172111800165.000000000000000,12560067439.000000000000000,+47.4073238,-120.5757999,71302.2031250
20,3,7,22,01629543,22,LA,Louisiana,00,G4000,A,111904803121.000000000000000,23746413153.000000000000000,+30.8634368,-091.7987173,52375.1992188
21,3,5,13,01705317,13,GA,Georgia,00,G4000,A,149177524294.000000000000000,4733385577.000000000000000,+32.6295789,-083.4235109,59425.3007813
22,3,6,01,01779775,01,AL,Alabama,00,G4000,A,131174431216.000000000000000,4592944701.000000000000000,+32.7396323,-086.8434593,52420.1015625
23,4,8,49,01455989,49,UT,Utah,00,G4000,A,212884846341.000000000000000,7000199770.000000000000000,+39.3349925,-111.6563326,84898.1015625
24,2,3,39,01085497,39,OH,Ohio,00,G4000,A,105833282399.000000000000000,10264451012.000000000000000,+40.4149297,-082.7119975,44825.6015625
25,3,7,48,01779801,48,TX,Texas,00,G4000,A,676641930188.000000000000000,19017521093.000000000000000,+31.4347032,-099.2818238,268596.0000000
26,4,8,08,01779779,08,CO,Colorado,00,G4000,A,268425964573.000000000000000,1178495763.000000000000000,+38.9938482,-105.5083165,104095.0000000
27,3,5,45,01779799,45,SC,South Carolina,00,G4000,A,77862731483.000000000000000,5071381300.000000000000000,+33.8741776,-080.8542639,32021.0000000
28,3,7,40,01102857,40,OK,Oklahoma,00,G4000,A,177664450004.000000000000000,3373087228.000000000000000,+35.5900512,-097.4868149,69899.0000000
29,3,6,47,01325873,47,TN,Tennessee,00,G4000,A,106798015774.000000000000000,2354836197.000000000000000,+35.8585557,-086.3493580,42144.1992188
30,4,8,56,01779807,56,WY,Wyoming,00,G4000,A,251465641446.000000000000000,1860628076.000000000000000,+42.9918024,-107.5419255,97809.7968750
31,4,9,15,01779782,15,HI,Hawaii,00,G4000,A,16634117742.000000000000000,11777681513.000000000000000,+22.0120383,-159.7059653,10969.9003906
32,2,4,38,01779797,38,ND,North Dakota,00,G4000,A,178710423375.000000000000000,4400396641.000000000000000,+47.4421740,-100.4608258,70699.5000000
33,3,6,21,01779786,21,KY,Kentucky,00,G4000,A,102266092821.000000000000000,2388731561.000000000000000,+37.5336844,-085.2929801,40407.5000000
34,9,0,78,01802710,78,VI,United States Virgin Islands,00,G4000,A,348013711.000000000000000,1550244357.000000000000000,+18.3267484,-064.9712505,732.9219971
35,9,0,69,01779809,69,MP,Commonwealth of the Northern Mariana Islands,00,G4000,A,472284356.000000000000000,4644260632.000000000000000,+14.9367835,+145.6010210,1975.5100098
36,9,0,66,01802705,66,GU,Guam,00,G4000,A,543558310.000000000000000,934334983.000000000000000,+13.4382886,+144.7729493,570.6179810
37,1,1,23,01779787,23,ME,Maine,00,G4000,A,79885808421.000000000000000,11748168571.000000000000000,+45.4092789,-068.6665979,35380.1015625
38,1,2,36,01779796,36,NY,New York,00,G4000,A,122048992746.000000000000000,19247151848.000000000000000,+42.9133974,-075.5962723,54554.6992188
39,4,8,32,01779793,32,NV,Nevada,00,G4000,A,284329327067.000000000000000,2047350803.000000000000000,+39.3310928,-116.6151469,110571.0000000
40,4,9,02,01785533,02,AK,Alaska,00,G4000,A,1478588231566.000000000000000,277723861311.000000000000000,+63.2813242,-152.5730397,678116.0000000
41,9,0,60,01802701,60,AS,American Samoa,00,G4000,A,197759070.000000000000000,1307243753.000000000000000,-14.2668475,-170.6671854,581.0850220
42,2,3,26,01779789,26,MI,Michigan,00,G4000,A,146488062160.000000000000000,103998746281.000000000000000,+44.8441757,-085.6604930,96713.3984375
43,3,7,05,00068085,05,AR,Arkansas,00,G4000,A,134768100673.000000000000000,2963631791.000000000000000,+34.8955256,-092.4446262,53178.5000000
44,3,6,28,01779790,28,MS,Mississippi,00,G4000,A,121530256608.000000000000000,3930182746.000000000000000,+32.6864714,-089.6561377,48440.5000000
45,2,4,29,01779791,29,MO,Missouri,00,G4000,A,178052037005.000000000000000,2488190402.000000000000000,+38.3507500,-092.4567826,69707.0000000
46,4,8,30,00767982,30,MT,Montana,00,G4000,A,376960880222.000000000000000,3871059371.000000000000000,+47.0511771,-109.6348174,147040.0000000
47,2,4,20,00481813,20,KS,Kansas,00,G4000,A,211753159949.000000000000000,1346325556.000000000000000,+38.4985464,-098.3834298,82278.2031250
48,2,3,18,00448508,18,IN,Indiana,00,G4000,A,92787765193.000000000000000,1539541677.000000000000000,+39.9030256,-086.2839503,36420.0000000
49,9,0,72,01779808,72,PR,Puerto Rico,00,G4000,A,8868734851.000000000000000,4922543816.000000000000000,+18.2176480,-066.4107992,5324.8398438
50,2,4,46,01785534,46,SD,South Dakota,00,G4000,A,196345228871.000000000000000,3384471850.000000000000000,+44.4467957,-100.2381762,77116.1015625
51,1,1,25,00606926,25,MA,Massachusetts,00,G4000,A,20204287539.000000000000000,7130763257.000000000000000,+42.1565196,-071.4895915,10554.0996094
52,3,5,51,01779803,51,VA,Virginia,00,G4000,A,102254240128.000000000000000,8532012665.000000000000000,+37.5222512,-078.6681938,42774.8007813
53,3,5,11,01702382,11,DC,District of Columbia,00,G4000,A,158351639.000000000000000,18675956.000000000000000,+38.9041031,-077.0172290,68.3507004
54,2,4,19,01779785,19,IA,Iowa,00,G4000,A,144664158135.000000000000000,1081293682.000000000000000,+42.0700243,-093.4933473,56272.6015625
55,4,8,04,01779777,04,AZ,Arizona,00,G4000,A,294198661567.000000000000000,1027245114.000000000000000,+34.2039355,-111.6063565,113987.0000000
